time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-10-03T08:19:04.925Z,21.3209,-45.3988,10,5,mb,94,52,15.643,0.65,us,us6000nw8l,2024-10-03T08:37:18.005Z,"northern Mid-Atlantic Ridge",earthquake,11.07,1.881,0.058,96,reviewed,us,us
2024-10-03T01:50:31.220Z,-46.9021,33.3953,10,5,mb,38,77,17.408,0.79,us,us6000nw77,2024-10-03T02:13:32.005Z,"Prince Edward Islands region",earthquake,12.89,1.817,0.109,28,reviewed,us,us
2024-10-02T23:27:09.351Z,11.7795,125.4921,64.138,4.7,mb,43,99,4.681,0.92,us,us6000nw6t,2024-10-02T23:43:15.005Z,"4 km NE of San Julian, Philippines",earthquake,10.64,7.754,0.091,37,reviewed,us,us
2024-10-02T21:41:46.963Z,-14.3041,167.2944,209.096,5.2,mww,63,64,6.843,0.66,us,us6000nw6c,2024-10-09T06:06:41.005Z,"54 km SSW of Sola, Vanuatu",earthquake,8.86,7.579,0.093,11,reviewed,us,us
2024-10-02T21:05:37.351Z,-34.8421,-179.5924,35,4.7,mb,25,115,3.202,1.13,us,us6000nw66,2024-10-02T21:45:55.005Z,"south of the Kermadec Islands",earthquake,10.92,1.89,0.134,17,reviewed,us,us
2024-10-02T20:44:00.827Z,5.7562,126.0843,108.262,4.5,mb,43,88,1.398,0.58,us,us6000nw62,2024-10-09T16:02:50.005Z,"52 km ESE of Mangili, Philippines",earthquake,11.6,6.287,0.092,35,reviewed,us,us
2024-10-02T19:41:01.566Z,11.9696,-86.7137,118.936,4.6,mb,58,66,2.145,0.8,us,us6000nw5b,2024-10-09T15:32:03.005Z,"22 km W of Villa El Carmen, Nicaragua",earthquake,7.65,6.264,0.047,136,reviewed,us,us
2024-10-02T16:20:49.186Z,-4.5278,101.8224,35,4.7,mb,39,188,1.142,0.73,us,us6000nw47,2024-10-02T16:50:29.005Z,"94 km SSW of Bengkulu, Indonesia",earthquake,8.8,1.96,0.106,28,reviewed,us,us
2024-10-02T14:40:53.561Z,35.578,141.0927,46.931,4.7,mb,38,141,2.532,0.56,us,us7000nhql,2024-10-04T14:43:44.005Z,"29 km SE of Hasaki, Japan",earthquake,6.91,7.652,0.117,22,reviewed,us,us
2024-10-02T10:51:09.956Z,13.1094,-89.9021,35.345,4.5,mwr,116,151,0.698,0.84,us,us7000nhpp,2024-10-02T11:10:31.040Z,"54 km S of Acajutla, El Salvador",earthquake,5.92,7.546,0.078,16,reviewed,us,us
